,City,Cloudiness,Country,Date,Humidity,Max Temp,Lat,Lng,Wind Speed
290,rochelle,1,US,1578335251,80,39.99,41.92,-89.07,11.41
291,salinopolis,78,BR,1578335459,82,81.23,-0.61,-47.36,15.1
292,sorong,100,ID,1578335459,93,75.29,-0.86,131.25,1.43
293,leshukonskoye,100,RU,1578335460,92,13.32,64.9,45.76,7.92
294,gao,40,ML,1578335460,15,71.35,16.28,-0.04,8.93
295,balikpapan,99,ID,1578335460,94,74.23,-1.24,116.86,2.53
296,tavda,21,RU,1578335460,94,15.57,58.04,65.27,6.17
297,bereda,75,ES,1578335460,81,52.0,43.27,-7.54,4.7
298,lagoa,0,PT,1578335460,76,57.99,37.14,-8.45,3.36
299,berezniki,3,RU,1578335460,77,1.99,59.41,56.8,2.51
300,college,20,US,1578335460,65,-34.6,64.86,-147.8,2.08
301,harper,1,US,1578335168,37,72.0,30.3,-99.24,9.17
302,port lincoln,0,AU,1578335460,75,61.5,-34.72,135.86,9.19
303,sao paulo de olivenca,13,BR,1578335460,44,93.94,-3.38,-68.87,4.45
304,kavaratti,80,IN,1578335184,72,80.91,10.57,72.64,3.67
305,narayanganj,0,BD,1578335460,82,60.8,23.62,90.5,8.05
306,provideniya,100,RU,1578335461,84,-9.4,64.42,-173.23,3.02
307,huambo,89,AO,1578335461,92,63.3,-12.78,15.73,4.12
308,shangrao,0,CN,1578335461,90,58.82,28.45,117.97,3.02
309,esperance,0,AU,1578335172,88,62.6,-33.86,121.89,3.36
310,plettenberg bay,100,ZA,1578335461,86,65.17,-34.05,23.37,6.08
311,umm kaddadah,43,SD,1578335461,19,69.26,13.6,26.69,10.16
312,anadyr,0,RU,1578335461,66,-31.0,64.73,177.51,4.47
313,naukot,30,PK,1578335461,59,59.52,26.04,69.12,13.8
314,tutoia,20,BR,1578335461,66,87.8,-2.76,-42.27,16.11
315,cherkasskoye,94,RU,1578335461,97,24.26,52.43,47.21,4.85
316,kawalu,83,ID,1578335462,93,70.9,-7.38,108.21,2.42
317,guerrero negro,0,MX,1578335462,32,67.64,27.97,-114.04,2.73
318,tarko-sale,90,RU,1578335462,87,25.0,64.92,77.78,8.01
319,manakara,4,MG,1578335462,91,75.33,-22.14,48.01,1.14
320,jember,100,ID,1578335462,96,67.57,-8.17,113.7,1.45
321,abu dhabi,20,AE,1578335286,60,68.0,24.47,54.37,9.17
322,omboue,100,GA,1578335462,87,78.13,-1.57,9.26,3.69
323,moerai,79,PF,1578335462,73,78.06,-22.43,-151.33,3.65
324,ixtapa,40,MX,1578335442,36,78.8,20.71,-105.21,2.8
325,eyrarbakki,75,IS,1578335462,80,39.2,63.86,-21.15,20.8
326,pisco,29,PE,1578335463,30,73.0,-13.71,-76.2,11.41
327,tabuk,82,PH,1578335463,93,68.29,17.41,121.44,2.84
328,mahebourg,75,MU,1578335463,94,80.6,-20.41,57.7,2.13
329,sola,93,TZ,1578335463,88,66.94,-3.17,33.8,4.81
330,hirado,100,JP,1578335463,77,64.4,33.32,129.49,25.28
331,los llanos de aridane,20,ES,1578335463,72,66.2,28.66,-17.92,18.34
332,san jeronimo,27,PE,1578335463,100,37.4,-13.65,-73.37,13.87
333,biak,100,ID,1578335463,74,80.83,-0.91,122.88,8.16
334,chapais,75,CA,1578335463,84,6.8,49.78,-74.86,9.17
335,necochea,0,AR,1578335286,53,73.0,-38.55,-58.74,15.01
336,svobodnyy,43,RU,1578335463,97,21.69,53.85,40.53,4.12
337,keti bandar,81,PK,1578335464,45,67.35,24.14,67.45,10.09
338,puerto maldonado,80,PE,1578335464,50,89.49,-12.59,-69.19,7.9
339,vao,100,EE,1578335464,97,35.87,59.1,26.19,6.62
340,cap malheureux,75,MU,1578335464,94,80.6,-19.98,57.61,5.99
341,codajas,32,BR,1578335464,39,96.69,-3.84,-62.06,5.5
342,saint petersburg,75,RU,1578335464,95,34.0,59.94,30.32,11.18
343,sugito,75,JP,1578335464,56,45.0,36.03,139.75,12.75
344,muros,75,ES,1578335464,93,54.0,42.77,-9.06,2.24
345,umm lajj,0,SA,1578335465,58,57.24,25.02,37.27,6.08
346,verkhnetulomskiy,75,RU,1578335465,92,17.6,68.61,31.8,2.24
347,berdigestyakh,97,RU,1578335465,96,8.53,62.1,126.7,4.29
348,pavlohrad,65,UA,1578335465,86,30.2,48.53,35.87,13.42
349,caravelas,86,BR,1578335465,71,84.24,-17.73,-39.27,15.77
350,reconquista,97,AR,1578335465,46,83.28,-29.14,-59.64,5.75
351,kuching,75,MY,1578335465,94,75.2,1.56,110.34,3.36
352,laguna,90,BZ,1578335465,83,71.6,16.17,-88.94,4.23
353,winslow,20,GB,1578335465,100,48.99,51.94,-0.88,10.29
354,elesbao veloso,58,BR,1578335465,76,84.34,-6.2,-42.14,4.25
355,high level,20,CA,1578335465,74,-25.6,58.52,-117.13,2.24
356,zelenoborsk,46,RU,1578335465,90,9.32,61.47,64.05,6.69
357,tessalit,67,ML,1578335465,14,62.69,20.2,1.01,6.38
358,tabou,0,CI,1578335466,53,78.46,4.42,-7.36,3.89
359,aasiaat,94,GL,1578335466,98,-4.97,68.71,-52.87,5.53
360,vila franca do campo,75,PT,1578335466,93,64.4,37.72,-25.43,14.99
361,izhma,79,RU,1578335466,95,5.41,65.01,53.91,6.8
362,norman,1,US,1578335319,37,55.0,35.22,-97.44,4.7
363,treia,93,DE,1578335466,87,43.0,54.51,9.32,9.17
364,dandong,90,CN,1578335466,79,28.33,40.12,124.37,8.41
365,husavik,6,CA,1578335466,76,24.01,50.56,-96.99,3.0
366,kruisfontein,100,ZA,1578335466,85,65.01,-34.0,24.73,5.91
367,bonthe,1,SL,1578335466,60,81.82,7.53,-12.5,10.8
368,buenos aires,14,AR,1578335180,28,82.4,-34.61,-58.44,8.05
369,tigzirt,0,DZ,1578335466,85,43.5,36.57,4.2,2.55
370,aligudarz,0,IR,1578335466,66,29.68,33.4,49.69,1.54
371,nagato,75,JP,1578335467,71,53.6,34.35,131.14,6.93
372,twin falls,1,US,1578335467,55,36.0,42.57,-114.46,13.87
373,yulara,100,AU,1578335467,60,75.2,-25.24,130.99,8.05
374,kununurra,90,AU,1578335467,94,78.8,-15.77,128.74,6.29
375,estelle,90,FR,1578335467,76,51.8,43.97,3.47,5.82
376,moba,84,CD,1578335467,63,78.62,-7.04,29.77,3.47
377,samarai,100,PG,1578335467,87,75.29,-10.62,150.67,1.1
378,lunenburg,26,CA,1578335467,82,27.0,44.38,-64.32,3.62
379,richards bay,67,ZA,1578335467,85,79.11,-28.77,32.06,8.57
380,beringovskiy,12,RU,1578335467,86,-10.35,63.05,179.32,12.68
